"","AR_ID","NID_ID","Dam_Name","Description","Year_Removed","Latitude","Longitude","City_County","River","HUC8","State","Dam_Height_ft","Dam_Length_ft","Year_Built","Owner","Original.Use","Type_Material","Miles_Restored_US","Miles_Restored_DS","River_Miles_Reported","Last_Updated","X","X.1"
"209","CT-017","","Raymond Brook Pond Dam","The dam owner, tired of the liability associated with a deteriorating dam and looking to turn a muck-filled pond back into a gently flowing stream, was supportive of the restoration project and the opportunity to partner with local and national groups to ensure its success. The dam's removal is restoring access to more than 16 miles of upstream riverine habitat within the Salmon River Watershed, reconnecting the river for juvenile Atlantic salmon, American eel, and native resident riverine species such as brook trout.  ","2007",41.61486,-72.3678,"Amston","Raymond Brook","Lower Connecticut","CT","4","","","Privately owned","","Concrete and rubble","","","16","11/10/2017","",""
"210","CT-018","","Murphy Dam","","2009",41.9153,-71.9173,"Putnam","Little River","Quinebaug","CT","","","","","","","","","","11/10/2017","",""
"211","CT-019","","Main Street Dam","","2010",41.05299,-73.5457,"Stamford","Mill/Rippowam (name changes at the dam)","Upper Scioto","CT","9.3","110","1922","Owned by City of Stamford","","Concrete","","","4.5","11/10/2017","",""
"212","CT-020","","Frankel Dams","Two small dams on either side of small island. Both needed some repair, but removed for habitat reasons.","2011",41.18433,-73.3471,"Westport","Aspetuck River","Saugatuck","CT","6","30","","Private - Frankel","","Concrete","","","0.75","11/10/2017","",""
"213","CT-021","","Rutan Dam ","","2012",41.36765,-71.8652,"Stonington","Anguilla Brook","Thames","CT","9","120","pre-1900","","Originally a mink farm; since 1970, no use- private residence","Stone-faced earthen dam with stone spillway","","","11 miles","11/10/2017","",""
"214","CT-022","","Spoonville Dam ","The Spoonville Dam was partially breached in 1955 flooding, but remained a barrier to fish and a safety hazard. The 30-foot thick concrete structure was removed to enhance public safety and increase connectivity for diadromous fish. ","2012",41.90124,-72.7568,"East Granby","Farmington River","Farmington","CT","25","128","1899","","Hydroelectric","Concrete","","","45","11/10/2017","",""
"215","CT-023","","Moosup Dam #1","","2014",41.717594,-71.901235,"Plainfield","Moosup River","Quinebaug","CT","6","90","","","","Stone","","","1.62","11/10/2017","",""
"216","CT-024","","Ed Bills Pond Dam","The Ed Bills Pond dam is the third removal in the Eightmile River Watershed. The dam removal restores upstream access for migratory fish and 5 acres of river, wetland and floodplain habitat.","2015",41.426824,-72.331786,"Lyme","East Branch Eightmile River","Lower Connecticut","CT","11","68","1940s","Private ","Recreation and aesthetics","Stone and concrete","","","10","11/10/2017","",""
"217","CT-025","","Griswold Rubber Dam","The Griswold Dam removal is the third barrier removal on the Moosup River as part of a partnership with CT DEEP and NRCS to restore the Moosup River.","2015",41.715861,-71.878394,"Plainfield","Moosup River","Quinebaug","CT","4","","","Private","Industry","Concrete","","","","11/10/2017","",""
"218","CT-026","","Hyde Pond","The Hyde Pond Dam Removal was completed on Whitford Brook, a tributary of the Mystic River. It restored fish passage to 4.1 stream miles and habitat for alewife, blueback herring and American eel (candidate species under the Endangered Species Act), and mitigated flooding risk downstream of the dam.","2015",41.396568,-71.959356,"Stonington","Whitford Brook","Thames","CT","4.8","200","1814","Cyrus Williams","Grist mill","","","","4.1","11/10/2017","",""
"219","CT-027","","Pond Lily Dam","The Pond Lily Dam Removal project increases capacity of the local coastal riverine habitat to withstand storms by eliminating the hazard of Pond Lily Dam's likely failure and restores a federal public asset by promoting migratory fish passage of federally protected species. The project eliminates threat of a catastrophic dam breach during future flooding. In total, approximately 2.6 miles of the West River and 76 acres of Konold's Pond habitat are being re-opened to migratory fish, including herring, eel and shad.","2015",41.335516,-72.975562,"New Haven","West River","Quinnipiac","CT","~6","190' spillway","1794","Levi Sperry","Grist mill","Mortared rubble with concrete cap","","","2.6","11/10/2017","",""
"220","CT-028","","Talbot Wildlife Management Area Dam","","2015",NA,NA,"Scotland","Merrick Branch","","CT","4","60","","State","Wildlife","Concrete","","","0.2","11/10/2017","",""
"221","CT-029","","White Rock Dam","","2015",41.405929,-71.84343,"Stonington/Westerly","Pawcatuck River","Pawcatuck-Wood","CT/RI","6","108","1770, replaced 1888 and 1938","","Mill power","Concrete (newer)/Stone and timber (original)","","","25","11/10/2017","",""
"222","CT-030","","Zemko Dam","A 5' high earth and stone dam blocked the passage of migratory fish. The 80' long and 12' wide dam also served as an unimproved road, with a concrete slab over the spillway. Zemko Dam was the last remaining obstruction to fish passage on the East Branch Eightmile River. Complete removal of Zemko Dam, the last man-made obstruction on the East Branch Eightmile River, allows migratory fish to access their full historic range within this system.  In addition to improving fish passage, removal of the dam restores the river’s natural structure and flow, a key element of a watershed’s overall health, and will eliminate the potential for dam failure in the future. The property where the dam once stood has since been purchased by The Nature Conservancy and is therefore protected from future development. The Eightmile River was also recently designated by Congress as a Wild & Scenic River, which provides additional protection at the federal level.  This stone, concrete and earthen dam was removed in stages, and stream flow was diverted during the removal process.","2007",41.494,-72.2834,"Salem","East Branch Eightmile River","Lower Connecticut","CT","5","80","","The Nature Conservancy","","Stone, Concrete, Earth","","","1.11","11/10/2017","",""
"223","CT-031","","Karp Family Dam","The Karp Family Dam was associated with a former campground.  It was a concrete slab with upright piers that accepted stoplogs.  The family used to drop the stoplogs into the slots to impound the stream for swimming in the early summer and then remove the stoplogs and drain the pond in the fall.  The stoplogs are long gone and the river was no longer impounded, but the slab was over a foot high and blocked river herring runs.  The streambed is all bedrock (no sediment) and the habitat is in good shape. Furthermore, the piers collect large woody debris that can create an impoundment and a safety issue.  The project site was accessed rom the south bank, creating an earthen ramp to get equipment down to the river. Heavy equipment was utilized to batter the concrete structure into smaller pieces, remove the concrete demolition debris, and finally transport the material to a nearby State of Connecticut Wildlife Management Area where there was a large barn foundation hole that needed to be filled in for safety reasons. The last step of the project was restoration of the riverbanks. The dam was completely removed, down to bedrock and there was no sediment to deal with, keeping project costs low.","2015",41.9622,-72.6305,"Suffield","Stony Brook","Lower Connecticut","CT","","","","","Recreation","Concrete slab with stoplogs","","","1","11/10/2017","",""
"224","CT-032","","Carpenter Dam ","A pair of dams in the Quinnipiac River blocks the passage of diadromous fish. Carpenter's Dam in Meriden is 110' wide and 6' high; approximately 9 mile upstream, in Southington, lies the Clark Bothers Dam, 70' wide and 5' high. These dams are very old, with Clark Brothers possibly dating back to 1750. They are both in poor shape, and most importantly, no longer serve a purpose.  Both dams were completely removed to restore fish passage to historic spawning areas. Removal of these dams reconnected the Quinnipiac River, almost up to its headwaters at Dead Wood Swamp in Farmington, to the Long Island Sound. A 30-inch water pipe, owned by the City of Meriden but now abandoned, was also removed as part of this project, making this stretch of river passable to recreational boaters as well as fish.","2016",41.527294,-72.857103,"Meriden & Southington","Quinnipiac River","Quinnipiac","CT","6","110","","","Mill power","","","","35.6 total","11/10/2017","",""
"225","CT-033","","Century Brass Dam","","2016",41.539,-73.0146,"Waterbury","Mad River","Housatonic","CT","","","","","Likely mill power","Concrete","","","1.2","11/10/2017","",""
"226","CT-034","","Clark Brothers Dam","A pair of dams in the Quinnipiac River blocks the passage of diadromous fish. Approximately 9 mile upstream of Carpenter's Dam, in Southington, lies the Clark Bothers Dam. ","2016",41.57099,-72.8967,"Meriden & Southington","Quinnipiac River","Quinnipiac","CT","5","70","1750","","Mill power","","","","35.6 total","11/10/2017","",""
"227","CT-035","","Norton Paper Mill Dam","","2016",41.5802,-72.4017,"Colchester","Jeremy River","Lower Connecticut","CT","20","","1726","","Mill power","Concrete","","","18.8","11/10/2017","",""
"228","CT-036","CT00579","Brunswick Mill #1 Dam","","2017",41.717552,-71.86102,"Plainfield","Moosup River","Quinebaug","CT","4","130","early 1800s","Private individual","","Timber crib w/concrete abutment","","","0.3","2/8/2018","",""
"229","CT-037","CT00529","Scantic River Dam (Springborn Dam)","","2017",41.983061,-72.518523,"Hazardville","Scantic River","Lower Connecticut","CT","26","","1890","","Mill","Stone","","","","2/8/2018","",""
"230","CT-038","","Flock Process Dam","","2018",41.139774,-73.426914,"Norwalk/Fairfield","Norwalk River","Aliso-San Onofre","CT","15","70","1879","","Mill power","Stone masonry","12","6","","2/5/2019","",""
"231","DC-001","","Millrace Dam","","",NA,NA,"Washington","Rock Creek","","DC","18","","","","","","","","","11/10/2017","",""
"232","DC-002","","Ford Dam #3","","1991",NA,NA,"Washington","Rock Creek","","DC","","","","","","","","","","11/10/2017","",""
"233","DC-003","","Unnamed Ford #2","","2003",NA,NA,"Washington","Rock Creek","","DC","3","","","","","","","","","11/10/2017","",""
"234","DC-004","","Unnamed Ford #1","","2004",NA,NA,"Washington","Rock Creek","","DC","3","","","","","","","","","11/10/2017","",""
"235","DE-001","","Byrnes Mill Dam (Dam No. 1)","","2014",39.69803,-75.6652,"Newark","White Clay Creek","Brandywine-Christina","DE","13","100","1777","Delaware Racing Inc.","Mill Dam","Timber Crib/Quarry Rock/Iron Pins","","","3.5","11/10/2017","",""
"236","DE-002","","Fell Spice Mill Dam","","1950",39.750203,-75.632919,"Wilmington","Red Clay Creek","Brandywine-Christina","DE","","","","","","","","","","11/10/2017","",""
"237","FL-001","FL00103","Dead Lakes Dam","","1987",30.12402,-85.1767,"Wewahitachka","Chipola River","Chipola","FL","18","767","","","","","","","","11/10/2017","",""
"238","FL-002","","Pace’s Dike Dam","","1991",NA,NA,"","","","FL","6","","","","","","","","","11/10/2017","",""
"239","FL-003","","Dam and Lock","","2000",NA,NA,"","Kissimmee River","","FL","","","","","","","","","","11/10/2017","",""
"240","FL-004","","Kelly Branch Dam","","2007",30.49635,-85.0084,"Blountstown","Kelly Branch","Apalachicola","FL","","","","Apalachicola Bluffs and Ravines Reserve","","","","","","11/10/2017","",""
"241","FL-005","","Brown Pond Dam","","2009",30.60326,-86.1449,"Freeport","Tributary to Little Rocky Creek","Choctawhatchee Bay","FL","","","","Eglin Air Force Base","","","","","1","11/10/2017","",""
"242","FL-006","","Puddin Head Dam","","2010",30.49832,-86.4257,"Niceville","Steephead Stream","Choctawhatchee Bay","FL","","","","Rocky Bayou State Park","","","","","0.8","11/10/2017","",""
"243","GA-001","GA05180","Eagle & Phenix Dam","The Eagle and Phenix Dam was constructed in 1868 of granite stone and masonry to power the Eagle and Phenix textile mill. The newly free flowing river will help to restore natural flowing conditions to the Chattahoochee.","2012",32.46975,-84.9976,"Columbus, GA/Phenix City, AL","Chattahoochee River","Middle Chattahoochee-Walter F","GA/AL","17","1009","1868","","Power the defunct Eagle and Phenix textile Mill","Granite stone and masonry","","","","11/10/2017","",""
"244","GA-002","","City Mills Dam","The objective of this Corps project is to breach these two dams in order to restore portions of the Fall Line shoal habitat.","2013",32.48013,-84.994403,"Columbus, GA/Phenix City, AL","Chattahoochee River","Middle Chattahoochee-Walter F","GA/AL","10","","1907 (1828 wooden dam previously)","City Mills","Hydropower","","","","","11/10/2017","",""
"245","GA-003","","White Dam","The project site is located on the Middle Oconee River within the University of Georgia, Warnell School of Forestry and Natural Resources Whitehall Forest, City of Athens, Clarke County, Georgia. Approximately 520 feet downstream of White dam is the confluence of the Middle Oconee River and the North Oconee River. The objective of the proposed modification is to maximize environmental and ecosystem benefits while maintaining the historic value and structural integrity of the dam. Human safety and increased recreational use of the river are also important considerations. To accomplish this, a breach (including removing all of the concrete and natural stone wall and footing located between the two existing sluice gates) was implemented. This resulted in an 88.5 L.F. open section located slightly offset to the south of the center of the dam. The remaining section of dam, on either side of the abutments, will help protect the abutments from storm flows and help preserve the structural integrity and historic value of the dam. ","2018",33.877576,-83.351376,"Athens/Clarke","Middle Oconee/Altamaha","Upper Oconee 03070101","GA","14.5","154","1912","University of Georgia","Hydropower","Concrete gravity dam, with ogee section and two sluice gates/concrete and stone faces with rubble core","22","93.5","","2/5/2019","",""
"246","HI-001","","Reservoir 205A","","",21.399009,-158.029374,"Oahu, Honolulu","","Oahu","HI","","","","Oahu Sugar Company","","","","","","11/10/2017","",""
"247","HI-002","","Reservoir 220B (Kunia Empty Reservoir, 500')","","",21.40545,-158.038569,"Oahu, Honolulu","","Oahu","HI","41","","","Oahu Sugar Company","","","","","","11/10/2017","",""
"248","HI-003","","Reservoir 155A","","",21.409945,-158.055301,"Oahu, Honolulu","","Oahu","HI","19","","","Oahu Sugar Company","","","","","","11/10/2017","",""
"249","HI-004","","Reservoir 245A","","",21.445152,-158.026583,"Oahu, Honolulu","","Oahu","HI","","","","Oahu Sugar Company","","","","","","11/10/2017","",""
"250","HI-005","","Reservoir 410B","","",21.397321,-158.010727,"Oahu, Honolulu","","Oahu","HI","21","","","Oahu Sugar Company","","","","","","11/10/2017","",""
"251","HI-006","","Puuokumau Reservoir","","1982",20.193539,-155.828997,"Hawaii","Kumakua","Hawaii","HI","18","","","Kohal Nui Farm","","","","","","11/10/2017","",""
"252","HI-007","","E-13 Reservoir (Paauhau Reservoir)","","2010",20.0721,-155.429,"Hawaii","Tributary of Keahua Gulch","Hawaii","HI","25.5","650","1928","Kamehameha Schools","","Earthen","","","","11/10/2017","",""
"253","HI-008","","Lalakea Reservoir ","","2009",20.08918,-155.582,"Hawaii","Tributary to Waiulili Stream","Hawaii","HI","26","800","1939","Kamehameha Schools","Irrigation","Earthen","","","","11/10/2017","",""
"254","HI-009","","Puu Ka Ele Reservoir ","","2010",22.184988,-159.400519,"Kauai","Tributary to Puu Ka Ele","Kauai","HI","25","1190","1890","Al Paterson; Jurassic Kahili Ranch","Irrigation; recreation","Earthen","","","","11/10/2017","",""
"255","HI-010","HI00023","Halemano 11 Reservoir","","2011",21.568449,-158.058991,"Oahu, Honolulu","","Oahu","HI","30","","","Dole Food Company Hawaii","Irrigation","","","","","11/10/2017","",""
"256","HI-011","","Reservoir 245B","","",21.444513,-158.025321,"Oahu, Honolulu","","Oahu","HI","","","","Oahu Sugar Company","","","","","","11/10/2017","",""
"257","HI-012","","Morita Reservoir","","2014",22.199845,-159.389117,"Kauai","Kilauea","Kauai","HI","27","200","1920","Joyce Doty; Jurassic Kahili Ranch","Fish & Wildlife Pond; Irrigation; Other","Earthen","","","","11/10/2017","",""
"258","HI-013","","Oahu Reservoir 510","","2013",21.423384,-157.982477,"Oahu, Honolulu","Waiawa","Oahu","HI","43","940","1935","Kamehameha Schools","Irrigation","Earthen","","","","11/10/2017","",""
"259","HI-014","","Oahu Reservoir 530","","2013",21.432622,-157.977262,"Oahu, Honolulu","Waiawa","Oahu","HI","44","310","1935","Kamehameha Schools","Irrigation","Earthen","","","","11/10/2017","",""
"260","HI-015","","Oahu Reservoir 545A","","2013",21.437554,-157.960231,"Oahu, Honolulu","Waiawa","Oahu","HI","54","375","1920","Kamehameha Schools","Irrigation","Earthen","","","","11/10/2017","",""
"261","HI-016","","Ahukini Reservoir","","2015",21.978967,-159.35288,"Kauai","Kapaia Ditch","Kauai","HI","15","2500","1926","Grove Farm Company (Haruki)","Irrigation","Earthen","","","","11/10/2017","",""
"262","HI-017","","Kehena Reservoir","","2011",20.164713,-155.800499,"Hawaii","Wainaia","Hawaii","HI","16","1800","1930","Parker Ranch","Irrigation","Earthen","","","","11/10/2017","",""
"263","HI-018","","Wahikuli Reservoir ","","2013",20.897742,-156.664616,"Maui","Honokohau Ditch","Maui","HI","28","1900","1918","HI Dept Natural Resources; West Maui Land Co; Kahoma Land LLC","Irrigation","Earthen","","","","11/10/2017","",""
"264","IA-001","IA01294","Hopkinton Dam","According to an article in the Waterloo Cedar-Falls Courier, the Delaware County Conservation Board removed the Hopkinton Dam in 2004.  ","2004",42.33755,-91.2576,"Hopkinton","Maquoketa River","Maquoketa","IA","","","","","","","","","","11/10/2017","",""
"265","IA-002","IA04035","Vernon Springs Dam","The Vernon Springs Dam was converted to rapids in August 2010, resulting in immediate reconnection of the upper Turkey River to the lake upstream and the river’s two main tributaries in Howard County for aquatic species. The structure eliminates re-circulating currents that contributed to past drownings while maintaining water elevation for a popular lake. Howard County Conservation Board initiated the project and raised funds. Minnesota stream restoration specialist Luther Aadland developed the concept design and conducted initial construction supervision; with Iowa DNR Rivers team members and DNR Engineering staff collaborating on final design and construction details. HCCB was awarded an FY2008 DNR low-head dam safety cost-share grant to construct a rock-arch rapids at a 20:1 slope below the existing dam and mill pond for safety and fish passage. Funds supporting the project included DNR Low-head Dam Public Hazard, U.S. Fish and Wildlife Service Fish Passage, FEMA, and local business supporters. ","2010",43.34744,-92.1378,"Howard County","Turkey River","Turkey","IA","8","265","1857","Howard County Conservation Board","Mill","Concrete","","","84","11/10/2017","",""
"266","IA-003","IA04029","Klondike Dam","The Klondike Dam to rapids conversion project was completed in May 2013. It involved removing the dam and construction a rapids that pools water to the same elevation of the dam to maintain water supply for a rural water system. The area is now safer, more accessible, and allows fish to pass upstream at both low and high water. Iowa DNR contributed $51,644 in state mitigation funds for design and construction.","2013",43.38621,-96.5216,"Lyon County","Big Sioux River","Lower Big Sioux","IA","12","175","1883","South Dakota Department of Schools & Land/Iowa DNR","","Concrete and stone","","","1873","11/10/2017","",""
"267","IA-004","IA01269","Boone Waterworks Dam","It was a long winter of construction, but the Boone Waterworks Dam to Rapids Conversion project on the Des Moines River was completed in April of 2014. Five fatalities had been reported since 1971 at this dam.","2014",42.07701,-93.9366,"Boone County","Des Moines River","Middle Des Moines","IA","3","212","1933","City of Boone","Water supply for town of Boone","Concrete","","","34","11/10/2017","",""
"268","IA-005","","Goldfield Dam","This project converted a former low-head dam into a small rock-arch rapids in August 2014. Iowa DNR supplied $35,112 in dam mitigation grants, and DNR mitigation staff assisted with project management, design, and construction supervision. Citizen donations and city funds covered the remainder of the $70,000 total project cost.","2014",42.73671717,-93.92697174,"Wright County","Shell Rock River","Boone","IA","4.5","50","1934","City of Goldfield","","Concrete","","","","11/10/2017","",""
"269","IA-006","IA01303","Manchester Dam","This project had many partners, including  Iowa Department of Natural Resources ($200,000), Iowa Resource Enhancement and Protection Program ($100,000), Vision Iowa (Iowa River Enhancement Community and Attraction Tourism grant), and many others. Along with the dam removal, another big expense in the project went to moving a water main lower in the river bed. The City of Manchester pledged more than $600,000 to the project, and Delaware County contributed $50,000. Fundraising and private donations made up the difference in funding.  The whitewater park project is estimated to cost an additional $1.8 million.","2014",42.48212,-91.4585,"Manchester","Maquoketa River","Maquoketa","IA","11","154","1905","City of Manchester","","Concrete","","","","11/10/2017","",""
"270","IA-007","IA01931","Quasqueton Dam","This project converted the Quasqueton Dam into a rock arch rapids in late August 2014. The project is on the Wapsipinicon River Water Trail in Buchanan County. Iowa DNR low-head dam mitigation grants of $68,000 and technical / design support helped make this project possible. Formerly, this dam led to situations like this: https://www.youtube.com/watch?v=0DICS5CtnKA&feature=youtu.be.","2014",42.39283,-91.7622,"Buchanan County","Wapsipinicon River","Upper Wapsipinicon","IA","6","210","1935","City of Quasqueton","Power for flour mill","Concrete","","","89","11/10/2017","",""
"271","IA-008","IA01960","Rockford Dam","Stream bank restoration immediately followed this dam removal, and has restored the river to a healthy habitat and improved navigation on a scenic part of the Shell Rock River for both paddlers and anglers.","2014",43.05032,-92.94243,"Rockford","Shell Rock River","Shell Rock","IA","8","170","1872","Margaret Zeran, Floyd County Conservation Board","Water power for grain mill","Concrete/1872 origninal wood frame encased","","","60","11/10/2017","",""
"272","IA-009","IA01301","Quaker Mill Dam","","2017",42.51,-91.47,"Manchester/Delaware","Maquoketa","Maquoketa","IA","22","196","1920s","Willard Hawker (private citizen) ","Hydropower","Concrete","","","~8","2/8/2018","",""
"273","ID-001","","Dip Creek Dam","","",43.75396,-114.382,"Ketchum","Dip Creek","Big Wood","ID","","","","","","","","","","11/10/2017","",""
"274","ID-002","","Lane Dam","","",48.6632,-116.297,"Boundary County","Elkhorn Gulch","Lower Kootenai","ID","","","","","","","","","","11/10/2017","",""
"275","ID-003","","Buster Lake Dam","","",44.43871,-114.417,"Challis","Garden Creek","Upper Salmon","ID","29","","1935","","","","","","","11/10/2017","",""
"276","ID-004","","Packsaddle Dam","","1916",43.770399,-111.339443,"Tetonia","North Fork Packsaddle Creek","Teton","ID","40","1000","1905","","","","","","","11/10/2017","",""
"277","ID-005","","Sunbeam Dam","","1931",44.270556,-114.736197,"Salmon - Challis National Forest, Stanley","Salmon River","Upper Salmon","ID","","","","","","","","","","11/10/2017","",""
"278","ID-006","","Grangeville Dam","","1963",NA,NA,"","Clearwater River","","ID","56","440","","","","","","","","11/10/2017","",""
"279","ID-007","","Timber Creek Dam","","1970",44.580543,-113.466527,"Leadore","Middle Fork Little Timber Creek","Lemhi","ID","","","","","","","","","","11/10/2017","",""
"280","ID-008","","Lewiston Dam","","1973",46.43346,-116.959,"Lewiston","Clearwater River","Clearwater","ID","45","1060","1927","","","","","","","11/10/2017","",""
"281","ID-010","","Malony Lake Dam","","1986",NA,NA,"","South Fork of Lake Fork Creek","","ID","","","","","","","","","","11/10/2017","",""
"282","ID-011","","Kshmitter Dam","","1988",NA,NA,"","Tributary of John Day Creek","","ID","","","","","","","","","","11/10/2017","",""
"283","ID-012","","Kunkel Dam","","1994",42.226577,-114.524136,"Twin Falls","Soldier Creek","Upper Snake-Rock","ID","","","","","","","","","","11/10/2017","",""
"284","ID-013","","Colburn Mill Pond Dam","","1999",48.40681,-116.529,"Sandpoint","Colburn Creek","Pend Oreille Lake","ID","12","35","","","","","","","","11/10/2017","",""
"285","ID-014","ID00174","Cove Dam","This removal was a collaborative effort that came as a result of the hydropower relicensing process this aging dam was undergoing.  Once complete, this restored stream will benefit native fish populations and recreational interests. ","2006",42.53199,-111.796,"Grace ","Bear River","Middle Bear","ID","","","1917","Pacificorp","Hydropower","","","","","11/10/2017","",""
"286","ID-015","","Unnamed ford (Road 5440)","","2009",46.7633,-115.087,"Clearwater National Forest","Independence Creek","Upper North Fork Clearwater","ID","","","","","","","","","2","11/10/2017","",""
"287","ID-016","","Pancheri Diversion Dam","","2010",44.11935,-113.247,"Howe","Little Lost River","Little Lost","ID","","","","","","","","","","11/10/2017","",""
"288","ID-017","","Dutch Flat Dam","In September 2013, the Dutch Flat Dam was removed from a disused drinking water reservoir in Troy, ID.  Originally built in 1919, the reservoir had filled with silt by 1925. The removal of this dam gives access to 7 miles of spawning habitat for steelhead which migrate up the Columbia River each spring. The project was sponsored by the City of Troy with assistance from the Latah Soil and Water conservation District, and also included channel restoration and a fenced educational site adjacent to a recreational bike and walking trail. ","2013",46.74278,-116.785,"Troy","West Fork of Little Bear Creek","Clearwater","ID","10","175","1919","City of Troy","Drinking Water Reservoir","Concrete","","","7","11/10/2017","",""
"289","ID-018","ID00104","Hoffman Duffy Dam","","2014",43.18655,-115.589,"Mountain Home","Unnamed trib to Rattlesnake Creek","C.J. Strike Reservoir","ID","9.5","570","1915","","Livestock pond","Earthen","","","0","11/10/2017","",""
"290","ID-019","","Browns Pond - Cruzen","","",44.91437693,-115.9799143,"McCall","Lake Fork","North Fork Payette","ID","25","","","","","","","","","11/10/2017","",""
"291","ID-020","","High Plains Estates","","2013",43.76911765,-116.4592974,"Eagle","Farmers Union Canal Tributary","North Fork Payette","ID","16","","","","","","","","","11/10/2017","",""
"292","ID-021","","Lindernam Dam","","",43.762194,-116.46005,"Fremont County","Milk Creek","Lower Boise","ID","26","","","","","","","","","11/10/2017","",""
"293","ID-022","","Watts Lake Dam","","",43.927736,-111.385851,"Nez Perce County","Hatwai Creek","Teton","ID","","","","","","","","","","11/10/2017","",""
"294","IL-001","","Lake Marion Dam","","",NA,NA,"","Delta Creek","Clearwater","IL","","","","","","","","","","11/10/2017","",""
"295","IL-002","IL00647","Olsens Lake Dam","","",41.974183,-89.527672,"Polo","Sevenmile Branch","Lower Rock","IL","17","","","","","","","","","11/10/2017","",""
"296","IL-004","IL50198","Consol/Burning Star 5/20 Dam","","",37.8367,-89.19,"DeSoto","Tributary of Little Muddy River","Big Muddy","IL","18","","","","","","","","","11/10/2017","",""
"297","IL-006","","Garden Forest Pond Dam","","",NA,NA,"","Tributary of Wolf Branch","","IL","","","","","","","","","","11/10/2017","",""
"298","IL-007","IL00950","Peabody #1A Dam ","","",37.73716,-88.2185,"Gold Hill","Tributary to Cypress Ditch","Saline","IL","24","","","","","","","","","11/10/2017","",""
"299","IL-008","","Peabody #5 Dam","","",NA,NA,"","Tributary to Cypress Ditch","","IL","42","","","","","","","","","11/10/2017","",""
"300","IL-009","","Paradise Lake Dam","","",NA,NA,"","Tributary to East Fork Wood River","","IL","20","","","","","","","","","11/10/2017","",""
"301","IL-010","","Old Ben Dam","","",NA,NA,"","Tributary to Ewing Creek","","IL","29","","","","","","","","","11/10/2017","",""
"302","IL-012","","Springfield Dam","","",39.76867,-89.6027,"Springfield","Tributary to Sugar Creek","South Fork Sangamon","IL","25","","","","","","","","","11/10/2017","",""
"303","IL-013","","Woodhaven North Impoundment Dam ","","",NA,NA,"","","","IL","12","","","","","","","","","11/10/2017","",""
"304","IL-014","","Woodhaven South Impoundment Dam","","",NA,NA,"","","","IL","11","","","","","","","","","11/10/2017","",""
"305","IL-015","","Stone Gate Park #1 Dam","","2010",41.686219,-88.348336,"Oswego","Waubonsie Creek","Lower Fox","IL","5","65","","Oswegoland Park District","","","","","","11/10/2017","",""
"306","IL-016","","YWCA Dam","","2004",41.971297,-88.279029,"South Elgin","Brewster Creek","Lower Fox","IL","8","50","","YWCA","","","","","4","11/10/2017","",""
"307","IL-017","IL55069","South Batavia Dam","This dam was scheduled for removal in September 2002 to eliminate the public safety hazard presented by its poor condition and to allow for the passage of fish.  However, a review process carried out by the state and federal regulatory agencies delayed removal.  While the plans were being reviewed, storms created significant breaches that now enable fish to move past the dam. Because of these breaches, the removal was delayed throughout 2004 and the full dam was not removed until 2005. ","2005",41.83626,-88.3099,"Batavia","Fox River","Lower Fox","IL","7","700","1916","Kane County Forest Preserve District ","","","","","1.5","11/10/2017","",""
"308","IL-018","","Leonards Dam ","","2008",41.31185,-88.1411,"Wilmington","Forked Creek","Kankakee","IL","2.3","114","Early 1900's","City of Wilmington","Recreation","Run of the river /concrete","","","93","11/10/2017","",""
"309","IL-019","","Creek Bend Dam #1","This Kane County dam, the second of two removals, was taken out in order to reconnect Ferson Creek to Fox River and improve the health of upstream fish and mussel communities, thus preventing further loss of species. The removal of the upper and lower dams on Ferson Creek restores connectivity to six river miles.  
","2009",41.92994,-88.3516,"St. Charles","Ferson Creek","Lower Fox","IL","4","60","Early 1900s","","","Run of the river /boulder concrete","","","3.5","11/10/2017","",""
"310","IL-020","","Creek Bend Dam #2","This Kane County dam, the first of two removals, was taken out in order to reconnect Ferson Creek to Fox River and improve the health of upstream fish and mussel communities, thus preventing further loss of species. The removal of the upper and lower dams on Ferson Creek restores connectivity to six river miles.  
","2009",41.92927,-88.353,"St. Charles","Ferson Creek","Lower Fox","IL","3","75","Mid 1900s ","","","Run of the river /boulder concrete","","","6","11/10/2017","",""
"311","IL-021","","Fairbanks Avenue Dam","This is one of three dams on the Des Plaines River that was removed for ecological benefits as well as public safety. ","2012",41.82275,-87.8201,"Riverside","Des Plaines River","Des Plaines","IL","2","158","","Forest Preserve District of Cook County","","Concrete","","","1","11/10/2017","",""
"312","IL-022","IL01154","Hofmann Dam","This is one of three dams on the Des Plaines River that was removed for ecological benefits as well as public safety. The removal opened up ten miles of river habitat that will help upstream fish communities. ","2012",41.8209,-87.8224,"Riverside ","Des Plaines River","Des Plaines","IL","12.5","258","1950","State of Illinois","","","","","10","11/10/2017","",""
"313","IL-023","","Blackberry Creek Dam (River Road Dam)","The Blackberry Creek Dam shared a cracked abutment with a county road and was removed as part of the Illinois Dam Safety Initiative. The project also connected fish in the Fox River to 32 miles of spawning and rearing habitat in Blackberry Creek  following removal in January 2013. ","2013",41.64543,-88.4505,"Yorkville","Blackberry Creek","Lower Fox","IL","12","75","1832","","Mill","Concrete/Stone","","","32","11/10/2017","",""
"314","IL-024","","DeSantos Dam/Arnold","","2005",41.97191,-88.2796,"South Elgin","Brewster Creek","Lower Fox","IL","3","30","","Private","","","","","1","11/10/2017","",""
